model,sample_pos,test_index,mse,rmse,mae,bias_mean,max_abs_error,relative_l2
FNO,151,324,8.002773328333653e-17,8.945822113329581e-09,6.7761839383553216e-09,-5.5762176086210456e-09,3.452487362665124e-08,0.015541287550022804
FNO,152,296,4.275841365324035e-17,6.5389917918009615e-09,4.216791488388267e-09,-2.8150302147529267e-09,3.582624685805058e-08,0.016732108112523125
FNO,153,192,1.8984140345376422e-17,4.357079336594231e-09,2.7055985394516086e-09,-2.1362327890285805e-10,3.6066353459318634e-08,0.0093480355411215
FNO,154,246,3.282941552077648e-15,5.7296959361537224e-08,3.922331392072777e-08,-2.4512495942911452e-08,4.210193083054037e-07,0.08901130927835263
FNO,155,1091,2.387309156568377e-16,1.5450919573178733e-08,1.1049152286882202e-08,-8.890784948282743e-09,1.0081363654990128e-07,0.046721910698919684
FNO,156,1662,6.346846295703957e-17,7.966709669433145e-09,5.82685915117249e-09,4.20233546483015e-09,3.830723471764941e-08,0.019165055147606344
FNO,157,670,9.571863663934054e-16,3.093842863484513e-08,2.1523794758662177e-08,-1.1849305692572848e-08,1.8057852457786794e-07,0.05555764807561581
FNO,158,432,1.3689618645477763e-15,3.699948465246207e-08,2.3036731032461697e-08,-1.3173119295269736e-08,2.093348427933961e-07,0.08745559758463177
FNO,159,1995,1.0668627855074981e-15,3.266286554341946e-08,2.188300102251712e-08,-8.256112385207262e-09,1.787089729532454e-07,0.0786208325541044
FNO,160,2588,5.71385083565723e-17,7.55900180953625e-09,5.142357350919755e-09,2.634884996184678e-09,6.674093810943305e-08,0.016115258104886416
FNO,161,785,6.267527877392042e-16,2.5035031211069105e-08,1.594328746863702e-08,6.136066323160208e-09,2.503198857084499e-07,0.05758777393618871
FNO,162,1966,2.6919831985964603e-17,5.188432517241079e-09,3.756761762026053e-09,-1.7173165077851114e-09,3.361355993547477e-08,0.012655872382103257
FNO,163,594,1.108283511399238e-16,1.0527504506763405e-08,8.023476563883648e-09,-2.8293675884535126e-09,4.7161847760435194e-08,0.014511990848731917
FNO,164,2405,3.395799853261509e-17,5.827349185746045e-09,3.802719420043397e-09,2.43591772272065e-09,4.941216502629686e-08,0.014065681080180269
FNO,165,2606,1.926779917174585e-16,1.3880849819714156e-08,8.868622361018796e-09,-7.593691214949194e-10,8.974802767625079e-08,0.018995620782627533
FNO,166,790,3.199386603258178e-15,5.65631205226354e-08,3.931018349142184e-08,2.6496525327662228e-08,4.3866054966201773e-07,0.1060559955730971
FNO,167,178,1.3252778393859223e-17,3.6404365663831066e-09,2.3388694495033848e-09,5.842084675327564e-10,2.9565967452072073e-08,0.010670741436467306
FNO,168,1286,2.7403043764523943e-15,5.234791663908311e-08,3.719870082443941e-08,1.7233706279215312e-09,2.8191709589009406e-07,0.052813313732432886
FNO,169,1741,8.348790565139679e-17,9.137171643971496e-09,5.838176580936317e-09,-2.7353032864369148e-09,1.1776808150898432e-07,0.029896911140456672
FNO,170,543,1.0898440900023311e-15,3.301278676516618e-08,2.6186502879328863e-08,-1.887674800766835e-08,1.1625672868831316e-07,0.023470068668242344
FNO,171,1106,1.0851209392114746e-16,1.04169138386159e-08,7.608937459200394e-09,3.710250905638563e-11,7.944436219986528e-08,0.008302826366068362
FNO,172,1681,8.07133667169113e-16,2.8410097978872106e-08,2.0247401744973075e-08,-1.604731924282313e-08,2.127212610503193e-07,0.07994013166543816
FNO,173,174,4.2929673835377764e-16,2.071947727028309e-08,1.1479091973315292e-08,3.5183069685637584e-09,1.6833374161251413e-07,0.05643607450984852
FNO,174,1554,9.25955106020849e-17,9.62265610952012e-09,6.568208997550263e-09,4.906349060392747e-10,5.3244434639054816e-08,0.01715531023502722
FNO,175,1833,5.816754395618723e-15,7.626764973184058e-08,5.800160346587627e-08,-4.809740752917255e-08,4.072345518579823e-07,0.07258784904259186
FNO,176,80,7.775023564230849e-16,2.788372924167578e-08,1.7858265294219474e-08,-5.390831958570613e-09,1.7631643345339398e-07,0.07042754879055005
FNO,177,32,1.580102353365577e-16,1.257021222321078e-08,8.870346105309597e-09,4.782292285113515e-09,6.784384254387987e-08,0.029303828417081523
